"Product","Item","Item Number","Case","Box","Sleive ","Price  case","Price Box","Price Sleive","","","","","",""
"NOT DELIVERED","NOT DELIVERED","NOT DELIVERED","","Box","",""," $-   "," $-   ","","","","","",""
"K Cup","Tim Horton Org K cup Reg Blend --24 ct/Box (4 Box to a case ) 96 /case","61-01306","Case","Box",""," NA ",""," NA ","","","","","",""
"K Cup","McCafe Premium Roast 24 ct/Box (4 Box to a case ) 96 /case","61-60832","Case","Box",""," NA ",""," NA ","","","","","",""
"K Cup","Tea k cup Timy Chai tea Case   24 ct/Box (4 Box to a case ) 96 /case","74-01976","Case","Box",""," NA ",""," NA ","","","","","",""
"K Cup","Caramel Vanilla Cream K-Cup 24 ct/Box (4 Box to a case ) 96 /case","94-06800","Case","Box",""," NA ",""," NA ","","","","","",""
"K Cup","Peppermint Tea 24 ct/Box (4 Box to a case ) 96 /case","74-01971","Case","Box",""," NA ",""," NA ","","","","","",""
"K Cup","Orange Pekoe Tea 24 ct/Box (4 Box to a case ) 96 /case","77-09081","Case","Box",""," NA ",""," NA ","","","","","",""
"K Cup","Laura Secord Hot Chocolate Clasic 24 ct/Box (4 Box to a case ) 96 /case","77-21917","Case","Box",""," NA ",""," NA ","","","","","",""
"Cups & lids ","Kraft Paper 12 oz Hot cup","IPDMRS","Case","TEST","","$199.00",""," NA ","","","","","",""
"Cups & lids ","White Travelers lid for 12 Hot cup White 20oz","LIT316","Case","TEST","","$199.00",""," NA ","","","","","",""
"Cups & lids ","Coffee Black lid 10-20 OZ - 1000 / case","GC80712BK","Case","TEST","","$140.00",""," NA ","","","","","",""
"Cups & lids ","Coffee White lid 10-20 OZ 1000/cs","GC80712 ","Case","TEST","","$140.00",""," NA ","","","","","",""
"Stir Sticks","1000 stir sticks","DE6CS","Case","TEST","","$78.75",""," NA ","","","","","",""
"Creamers and whiteners ","Coffee Mate Shakers (12 x 311 grams)","Y3CMR","Case","TEST","","$78.75",""," NA ","","","","","",""
"Creamers and whiteners ","Coffee Creamers International-288/13 mls - Hazelnut","Y3IDH","Case","TEST","","$78.00",""," NA ","","","","","",""
"Creamers and whiteners ","Coffee Creamers International-288/13 mls - French Vanilla","Y3IDFV","Case","TEST","","$78.00",""," NA ","","","","","",""
"Creamers and whiteners ","Coffee Creamers International-288/13 mls - Irish Cream","Y3IDIC","Case","TEST","","$78.00",""," NA ","","","","","",""
"Sugar","Wings sugar 2000 portions -3.5 g each ","Y1WSP","Case","TEST","","$57.92",""," NA ","","","","","",""
"Sugar","Dure Sugar Shakers 24x 20 oz ","YDSS","Case","TEST","","$118.00",""," NA ","","","","","",""
"Breakfast Blend 64 x 2.oz pouches","","","TEST","TEST","","","","","","","","","",""
