CustomerID,Week,Day,Company,Address,Delivery Fee,Phone,Notes,Email,Location,,Active
e7bbbed3,,,TD Bank - Aramark Canada,1040-102 Ave Dawson Creek,,,,,,,true
141b35c4,,,,,,,,,,,true
162b823d,,,Bluewave Energy,2801-92nd Street Dawson Creek,,PO# 1229701-000OS,,,,,true
7ccccd9f,,,CN RAIL,,,,Want to be on the route again ,,,,true
36a06325,,,Ovintiv,03-07-81-17-W6 Tower Sweet Gas Plant,,Rob 250-219-1057,,,,,true
c4da5267,,,,15-27-079-17-W6 Saturn Sweet Gas Plant,,,MUST GET STAMP/SIGNATURE Coffee Supplies Sheet,,,,true
7b645818,,,,16 of 36-78-17 W6 Water Resource Hub 2 trailers,,,Fill out amounts - call us if you need help ,,,,true
676c2bed,,,,9-27-079-17 W6 Veresen Compressor Site,,,,,,,true
d73cdb13,,,,A5-G/93 P09 Toms Lake,,,,,,,true
49a7ddda,,,,D19-H/93 P09 Toms Lake,,,,,,,true
f75db29e,,,,15 of 31-74-13-W6 Sinclar ,,,,,,,true
6e58c584,,,,C-014-G/93-P099 South Central Liquid Hub,,250-843-3018,,,,,true
3ce34395,,,,1 of 34,,250-793-9112,243 Road Down fr. The Water Hub @ 4-26,,,,true
495e85d1,,,,4 of 26-78-17 Sunrise Plant,,,,,,,true
39ffaf39,,,,9-15-77-15 Berry Road,,,,,,,true
00d193a5,,,,LSD 5-27-79-17 W6M,,,,,,,true
ecf7d6bf,,,Dawson Creek Hospital,11100-13 Street Dawson Creek,,250-782-8501,PO and contact person needed,,,,true
4edcf75a,,,Heritage North Consulting,8912-109th Street Fort St John Fort St John,,250-785-0314,,,,,true
365fa60a,,,,,,,,,,,true
fccf8e96,,,Custom Cell FSJ,#1360, 9600-93 Ave Fort St John,,250-785-6115,,,,true
ea5dd13d,,,Custom Cell DC,1025 102 Ave  Dawson Creek,,250-219-6765,,,,,true
3b7efe6c,,,Pat's Auto Dawson Creek,1400-102 Avenue Dawson Creek,,250-784-1900,,,,,true
69bfcc08,,,WalMart Dawson Creek PRIMO,600 Highway 2 Dawson Creek,,250-719-0128,,,,,true
a75eeaeb,,,Walmart Fort St John PRIMO,9007-96A Street Fort St John,,250-261-5544,,,,,true
83e314ba,NEW,,Bandstra Transportation,1505-97 Ave Dawson Creek,,250-782-0477,,,,,true
4ee05ce6,,,Apex Distribution,Dawson Creek BC,,,,,,,true
516c95b9,,,,,,,,,,,true
3ea6285e,,,Intelcom,420-115 Avenue Dawson Creek BC,,,,,,,true
