CustomerID,Week,Day,Company,Address,Delivery Fee,Phone,Notes,Email,Location,,,,Active
74be80b7,,,Pembina KA,PGI Gasplant Fox Creek,,,,,,,,,true
62baef05,,,Pembina K3,PGI Gasplant Fox Creek,,780-567-2365,,,,,,,true
2f8a7930,,,Enersul,PGI Gasplant Fox Creek,,,,,,,,,true
413ad8fc,,,Rexall Pharmacy,4705 50 Avenue,,780-567-2365,$4.15 @ Bottle, Back Store/Front Display,,$4.15 @ Bottle, Back Store/Front Display,,true
f1d24051,,,SLCN CFSS OFFICE,NE-15-70-23-W5 Sturgeon Lake,,,,,,,,,true
919a2e52,,,Sturgeon Lake Cree Nation,,,,,,,,,,true
73f89f7b,,,Sturgeon Lake Cree Nation,Headstart building Daycare,,Kerry 780-524-5950,,,,,,,true
92195800,,,Sturgeon Lake Cree Nation,ISETS Program,,Jennifer 780-524-5901,,,,,,,true
4c256462,,,,,,403-975-1005 Martin,,,7 kms east of Bezanson Hwy 43 ,,,,true
6e81629a,,,URBN Leaf Cannabis,Unit 1C  3808 Highway St Valleyview ,,,,,4 Bottles,,,,true
3f34ea5b,,,Harvard Service,3617-46 Street Valleyview,,,,,10 bottles/Atco Bldg Maintenance,,,,true
0a9d6d65,,,,,,,,,,,,,true
dcf689b2,,,The Cooperators,4803 50 Ave Valleyview,,,,,5 bottles,,,,true
2aed8ccb,,,,,,,,,,,,,true
