CustomerID,Week,Day,Company,Address,Location,Phone,Notes,Email,Delivery Fee,,,,,Active
76544f42,week 3,Monday,Tartan Autobody,9608B-108 Street, Grande Prairie, AB T8V 4E1,Select standard fee,,Main Entrance & Under Stairwell in Office,tartanab@telus.net,,,,true
d7f3e3dc,week 3,Monday,Western Star Truck (North),7802 110 Street, Grande Prairie, AB T8W 1M3,Select standard fee,,Lunch Room,ap@wsnorth.com,,,,true
442de68c,week 3,Monday,Manitoulin Transport,8601 115 Street, Grande Prairie, AB T8V 6Y6,Select standard fee,,Storage Room,accountspayable@manitoulintransport.com,,,,true
148a2e81,week 3,Monday,Sanjel - GP Office,10820 78 Avenue, Grande Prairie, AB T8W 2L3,Select standard fee,780-532-1888,Main Entrance,clenek@sanjel.com,,,,true
aa708179,week 3,Monday,Orbit Hydraulics,11011 92 Avenue, Grande Prairie, AB T8V 3J3,Select standard fee,780-532-1888     780-832-6682 (Jason),Lunch Room,ap@orbithydraulics.ca,,,,true
c0f17378,week 3,Monday,Wheaton Chevrolet,11701 101 Avenue, Grande Prairie, AB T8V 3X9,Select standard fee,780-832-6682,,accountspayable@gpchev.ca,,,,true
6c0a423a,week 3,Monday,VDM Trucking,12002 106 Avenue, Grande Prairie, AB T8V 8B4,Select standard fee,780-532-1555,Jason Hansen,ap@vdmtrucking.com,,,,true
a371020e,week 3,Monday,Phoenix Energy,9602 117 Street, Grande Prairie, AB T8W 0C7,Select standard fee,780-532-1555,Exchange all empties,ap@phoenixenergy.ca,,,,true
976000b5,week 3,Monday,Phoenix Energy Rodfather Div,Unit 104,11401 98 Avenue, Grande Prairie, AB T8V 5S5,Select standard fee,,Please just exchange all empties 4 bottles biweekly,ap@phoenixenergy.ca,,,true
030882db,week 3,Monday,JTW Automotive,9223 111 Street, Grande Prairie, AB T8V 4M5,Select standard fee,780-538-2705 #3,4 bottles biweekly,jtwautomotive@telus.net,,,,true
ed0382f2,week 3,Monday,Unified Valve Ltd,8401 113 Street, Grande Prairie, AB T8V 7B4,Select standard fee,Lunch Room,,ap@unifiedvalve.com,,,,true
0575b095,week 3,Monday,Specialty Pump & Power,713064 Range RD 65, Grande Prairie County No.1, AB T8W 5E7,Select standard fee,,Lunch Room,,,,,true
4c8c43f8,week 3,Monday,Summit Fleet,12238 104 Avenue, Grande Prairie, AB T8V 8A8,Select standard fee,,,ap@summitacceptance.com,,,,true
d1d717af,week 3,Monday,Max Fuel Distributors,11410-97 Avenue, Grande Prairie, AB T0H 0W0,Select standard fee,,,apgp@maxfuel.ca,,,,true
a53aa8e5,week 3,Monday,Cenovus Energy,9701 116 Street #5, Grande Prairie, AB T8V 6H6,Select standard fee,,4/week (Sandra Eddy),,,Customer receives pink copy,,true
542ab847,week 3,Monday,HSE Integrated,Suite 101, 11101-87 Avenue, Grande Prairie, AB T8V 5P6,Select standard fee,,4 a week as per Sandra Eddy,accountspayable@hseintegrated.com,,,true
67449b16,week 3,Monday,First Student,11456 97 Avenue, Grande Prairie, AB T8V 5Z5,Select standard fee,,,fgainvoices@bscs.basware.com,,,,true
71c05da6,week 3,Monday,Grizzly Trucks,10903 78 Avenue, Grande Prairie, AB T8W 2L2,Select standard fee,780-538-3552,,GrizzlytrucksGP1@gmail.com,,,,true
5f32046a,week 3,Monday,Phoenix Energy (Safety),7851 110 Street, Grande Prairie, AB T8W 6T2,Select standard fee,780-538-3552,,ap@phoenixenergy.ca,,,,true
aff1b0bc,week 3,Monday,JDA Ventures,713031 RR 64, Grande Prairie, AB T8W 5E5,Select standard fee,,,payables@jda.ca,,,,true
0eb85c2b,week 3,Monday,Holiday Inn,9816 107 Street, Grande Prairie, AB T8V 8E7,Select standard fee,,,admin@higrandeprairie.com,,,,true
7d5bbf7c,week 3,Monday,Velocity Group,10920 84 Avenue, Grande Prairie, AB T8V 6H2,Select standard fee,,,accounting@velocitygroup.ca,,,,true
7e6efc2a,week 3,Monday,HWN Energy,Unit 201, 11225 98 Avenue, Grande Prairie, AB T8V 5A5,Select standard fee,,,cberger@hwnenergy.com,,,true
6877e3a0,week 3,Monday,Klon Services,7130431 RR 64, Grande Prairie, AB T8W 5E5,Select standard fee,,8 bottles,accounts@klonservices.ca,,,,true
c5e77e6a,week 3,Monday,LSM Lee's Sheet Metal,10910 97 Avenue, Grande Prairie, AB T8V 3J8,Select standard fee,780-532-4418,8 bottles,mail@golsm.com,,,,true
63d72439,week 3,Monday,Leyman Dist,8910 108 Street, Grande Prairie, AB T8V 4C8,Select standard fee,780-532-4418,Replace empties,gra@northernmetalic.com,,,,true
7238f162,week 3,Monday,The Vine Luxury Spa,9814-107 Street Grande Prairie AB T8V 8E7,Select standard fee,,Please make sure to go every two weeks,,,Ask for Email address,,,,true
2e0291ed,,,The Crossing Company,#13-713068 RR65, Grande Prairie County No.1 T8W 5E7,,,,jroy@crossinggroup.com,[Route: week 3 > 3 Monday.csv] [Day: Friday],,,,true
3af8f78a,,,Bearcom,11213-97 Ave Grande Prairie, AB T8V 5N5,,,,canada_ap_invoices@bearcom.com,[Route: week 3 > 3 Monday.csv] [Day: Friday],,,,true
