CustomerID,Week,Day,Company,Address,Location,Notes,Phone,Email,DeLivery Fee ,,,Active
2337df51,week1,Mon,BearCom Canada,11213-97 Avenue,Grande Prairie,Under Stairwell,,,,,,true
8e2e1b30,week1,Mon,Alliance Pipeline,10944-92 Avenue,Grande Prairie,Back Door,,,,,,true
8c2d144d,week1,Mon,Western Star Truck (North) Ltd.,7802-110 Street,Grande Prairie,Front,,,,,,true
aaf91663,week1,Mon,Manitoulin Transport,8601-115 Street,Grande Prairie,10-Shop/6-Office,538-1441,culliganservicescheduling@gmail.com,,,,true
6049046a,week1,Mon,Sanjel - GP Office,10820-78 Avenue,Grande Prairie,Jason Hansen,780-532-5652,,,,,true
d86a7b73,week1,Mon,First Choice Electrical,10913-97 Avenue,Grande Prairie,,780-539-4777,,,,,true
ff710565,week1,Mon,Orbit Hydraulics,11011-92 Avenue,Grande Prairie,,,,,,,true
b83c83c4,week1,Mon,Ferus Inc,10302-121 Street,Grande Prairie,12 bottles,,,,,,true
792624fd,week1,Mon,Phoenix Energy,9602-117 Street,Grande Prairie,Please just exchange all empties,,,,,,true
d8ef2d9f,week1,Mon,Phoenix Energy - Rodfather Div.,11401-98 Avenue,Grande Prairie,,,,,,,true
7a14d073,week1,Mon,Unified Valve Ltd,8401-113 Street,Grande Prairie,4 bottles biweekly,,,,,,true
df9a1122,week1,Mon,Max Fuel,11410-97 Avenue,Grande Prairie,Lunch Room,,,,,,true
d3a213b1,week1,Mon,Wheaton Chev,11044-100 Street,Grande Prairie,Separate invoices; chrg to New,,,,,,true
aa8f5fa9,week1,Mon,Summit Fleet,12238-104 Avenue,Grande Prairie,,,,,,,true
435eb52e,week1,Mon,HSE integrated,10946-89 Avenue,Grande Prairie,,,,,,,true
8519591e,week1,Mon,Cenovus,9701 116 Street,Grande Prairie,,,,,,,true
bd6ca04f,week1,Mon,VDM Trucking,12002-106 Avenue,Grande Prairie,,780-532-1986,,,,,true
8292d16f,week1,Mon,First Student,11456-97 Avenue,Grande Prairie,4 a week as per Sandra Eddy,,,,,,true
976b4203,week1,Mon,Grizzly Trucks,10903-78 Avenue,Grande Prairie,,780-538-9952,,,,,true
18ec81ee,week1,Mon,Studio Homes,#209-8801 Resources Rd,Grande Prairie,48,,,,,,true
397b90c7,week1,Mon,Canna Cabana,Unit 115, 11070-100 Ave,Grande Prairie,,,,,,true
8f163343,week1,Mon,Phoenix Energy - Safety,7851-110 Street,Grande Prairie,,,,,,,true
118b8f9f,week1,Mon,Custom Cellular,#101, 1060-108A St-Gateway,Grande Prairie,,,,,,true
fc995430,week1,Mon,Holiday Inn,9816-107 Street,Grande Prairie,,,,,,,true
61f357a9,week1,Mon,Specialty Pump,713064 RNG RD 65,Grande Prairie,,,,,,,true
b63f1a8e,week1,Mon,HWN Energy,11225-98 Ave Unit 201,Grande Prairie,,,,,,,true
4fcc1451,week1,Mon,Klon Services,713040 RR64,(Not Listed),6 bottles,,,,,,true
ee5b38b7,week1,Mon,LSM Lee's Sheet Metal,10910-97 Avenue,Grande Prairie,780-532-4430,,,,,,true
267a4bd2,week1,Mon,Leyman Dist,8910-108 Street,(Not Listed),Just replace empties,,,,,,true
52f64b7a,week1,Mon,The Vine Luxury Spa,9816-107 Street,Grande Prairie,Go every two weeks,,,,,,true
b46b7866,,,Bunch Projects,9620-109 street Grande Prairie, AB T8V 4E4,,780-532-6034,,purchaseorders@bunch.ca,[Route: Week 1 > 1 Monday] [Day: Thursday],,true
59cd8be0,,,Northern Metalic,9708-108 Street Grande Prairie AB T8V 4E2,Select standard fee,,,,RUSH ORDER - 4/2/2026,62598,,true
6bff2ce1,,,Gray Electric,8602-111A Street Grande Prairie,AB T8V 5L3,,780-539-4777,,Admin@grayelectric.ca,[Route: Week 1 > 1 Monday] [Day: Thursday],,true
