CustomerID,Week,Day,Company,Address,Location,Notes,Phone,Email,Delivery Fee ,,,Active
46e405ae,Week 2,MONDAY,Rentco Equip , 9601-117 Street Grande Prairie,,,,ap@rentcoequipment.com, $17.00 ,,,true
c7337c78,Week 2,MONDAY,North Peace Insulation Products, 106, 10919 96 Avenue Grande Prairie,,,,doug@npinsulatind.com, $17.00 ,,true
f137830e,Week 2,MONDAY,JR Paine,11020 - 89 Avenue Grande Prairie,,,,jrp-off@telus.net, $17.00 ,,,true
d8116930,Week 2,MONDAY,Strongo Equipment , 11301 - 89 Avenue Grande Prairie,,,,Receptiongrandeprairie@strongo.com, $17.00 ,,,true
6fa5622f,Week 2,MONDAY,On Side Restoration, 9503 - 113 Street Grande Prairie,,,,documents@onside.ca, $17.00 ,,,true
f4017d2d,Week 2,MONDAY,ATB Financial West,9907 -106 A Street Grande Prairie,,,,tscott@atb.com , $17.00 ,,,true
3d0c0c45,Week 2,MONDAY,Bradvin Trailer Sales ,10920 - 87 Avenue Grande Prairie,,,,ap@bradvin.com , $17.00 ,,,true
c75c1f70,Week 2,MONDAY,Freedom Machine Coopr ,8801 110 A street Grande Prairie,,,,accounting@freedommachinecorp.com , $17.00 ,,,true
02a47838,Week 2,MONDAY,Sanjel GP Office , 10820-78 street Grande Prairie,,,,clenek@sanjel.com, $17.00 ,,,true
8e1446a3,Week 2,MONDAY,Moores The Suit People ,108, 11502 Westgate Drive Grande Prairie,,,,ar.cswc@primobrands.com , $17.00 ,,true
a6740a41,Week 2,MONDAY,Chatters WestGate ,114, 11517 Westgate Drive Grande Prairie,,,,ar.cswc@primobrands.com , $17.00 ,,true
b9fc054d,Week 2,MONDAY,First Student ,11456 - 97 Avenue Grande Prairie,,,,fgainvoices@bscs.basware , $17.00 ,,,true
428c5bac,Week 2,MONDAY,GP Brewing , 8812 - 111A Street Grande Prairie,,,,retail@gpbrewingco.com, $17.00 ,,,true
d6758492,Week 2,MONDAY,Prairie Disposal , 65029 Hwy 43 County of GP No 1,,,,accounting@prairiedisposal.com, $17.00 ,,,true
0c6e06b2,Week 2,MONDAY,Puralator , 11460 & 11474 - 95 Avenue Grande Prairie,,,,ar.cswc@primobrands.com, $17.00 ,,,true
e8efe4e8,Week 2,MONDAY,Adventure Aviation, 11021 - 123 Street,,,,accounting@adventureaviation.ca, $17.00 ,,,true
c3574f16,Week 2,MONDAY,Dr Phone Fix,11517 Westgate Dr unit 113 Grande Prairie,,,,gp@docphonefix.com , $17.00 ,,,true
05231ea9,Week 2,MONDAY,Kandis M Bordain ,36 - 714010 RR64 County of GP No 1,,,,kbordain@telus.net , $17.00 ,,,true
595b8c67,Week 2,MONDAY,Klon Services , 713040 RR64,,,,accounts@klonservices.ca, $17.00 ,,,true
b786d227,Week 2,MONDAY,Leyman Dist ,8910 108 Street,,,,gra@northernmetalic.com , $17.00 ,,,true
d4fbd94a,Week 2,MONDAY,Progressive Physio, 10605 Westside Drive,,,,info@progressivephysiotherapy.ca, $17.00 ,,,true
758fd30c,,,Northern Metalic,9708-108 street T8V 4E2,Select standard fee,,,Rush Driver,RUSH ORDER - 3/16/2026,75440,,true
99263eeb,,,cenovus,9701 116 Ave Grande Prairie Ab , t8v481,17.00,,,,,,true
3e559339,,,Bunch Projects,9620-109 street Grande Prairie, AB T8V 4E4,,780-532-6034,,purchaseorders@bunch.ca,[Route: Week 2 > 2 Monday] [Day: Thursday],,true
