CustomerID,Week,Day,Company,Address,Delivery Fee,Phone,Notes,Email,Location,,,Active
e1994862,WK 2,Wed,Strategic Industrial Cleaning,RR53,,Clairmont,Both Trailers,ap@sicsgp.com,,,,true
f03f49f1,WK 2,Wed,Mustang Rentals,,,Grande Prairie,Office,accountspayable@mustangrentals.com,Emerson Trail,,,true
790e0e66,WK 2,Wed,Clean Harbors Energy ,,,Grande Prairie,Lunch Room,peaceap@cleanharbors.com,Emerson Trail,,,true
e8bf4b95,WK 2,Wed,County of GP Fire Dept,10808-100 Avenue  Clairmont ,,,780-532-9727,ap@countygp.ab.ca,10808-100 Avenue,,,true
f943ec4f,WK 2,Wed,CNRL Clairmont Battery,3-27-72-5-W6,Select standard fee,,780-567-4194,APConv.Invoices@cnrl.com,,,,true
5bda1bc4,,,,,,,,,,,,true
d3179cc2,WK 2,Wed,CNRL Clairmont Battery,3-27-72-5-w6,Select standard fee,,,APConv.Invoices@cnrl.com,East on Teepee Creek Hwy,,,true
e00b3865,WK 2,Wed,CNRL Halfway Battery,9-10-73-6-w6,,, 780-814-0520,APConv.Invoices@cnrl.com,West at Emerson to RR60 South 3/4m on RHS,,,true
39aeda92,WK 2,Wed,CNRL Manir Battery,14-21-72-3-W6,Select standard fee,,780-933-0876 Randy,APConv.Invoices@cnrl.com,Hwy 43 East turn North onto RR53 turn right at first TWP road ,,,true
24bbaec1,WK 2,Wed,CNRL Manir Battery,14-21-72-3-W6 ,Select standard fee,,,APConv.Invoices@cnrl.com,Sexsmith,,,true
e54ec387,WK 2,Wed,CNRL Manir Battery,14-21-72-3-w6,,,780-518-1639 Mark 780-933-6111 Earl,APConv.Invoices@cnrl.com,Hwy 43 E turn N at RR34 5/6 miles,,,true
97e83d69,WK 2,Wed,JC Inspections,10013-108 Street Clairmont,,,,LGardner@jc-inspections.com,10013-108 Street,,,true
63d4a98c,WK 2,Wed,PVT Energy  - New Bldg,721071 RR53 County of Grande Prairie,,,Drop off with <Melissa and Pam,AP.Energy@pvtgroup.com,721071 RR53,,,true
543f3d5e,WK 2,Wed,Truck Zone North,15202-94 Street Grande Prairie,,,780-532-0395,APinvoicesonly@truckzone.ca,15202-94 Street,,,true
8eda440e,WK 2,Wed,Contain Enviro Services Ltd.,13535-97 Street Grande Prairie,,,PLEASE GET SOMEONE TO SIGN, Shop,accountspayable@contain.ca,13535-97 Street,,true
2a4b4dd2,WK 2,Wed,RB Curry,73005 RR63 Emerson Trail,,,4 locations take to them all,ap@curryautotransport.com,73005 RR63,,,true
720cde0b,Wk 2,Wed,RB Curry (Tanya Cox),731058-RR 60,,,once a month 10 bottles,ap@curryautotransport.com,731058-RR 60,,,true
940266ab,WK 2,Wed,Curry Towing,They are now in Lot 6,,,Bill to RB Curry drop off 1 case of water as well every drop off,ap@curryautotransport.com,They are now in Lot 6,,,true
c115ce0b,WK 2,Wed,Scrap Metal,724080 RR63,,,Bill to RB Curry,ap@curryautotransport.com,724080 RR63,,,true
3d43fc7a,WK 2,Wed,Legacy Trailers,RR 63,,,Bill to RB Curry,ap@curryautotransport.com,RR 63,,,true
eafc7861,WK 2,Wed,Essential Coil,2A 63014 TWSP RD 724  Clairmont,,,Door code 5231,AP@ETS.ca,2A 63014 TWSP RD 724 ,,,true
39f5a10a,WK 2,Wed,Keyera GP,9516-146 Avenue Grande Prairie,,,780-402-5942   PO#20047662,accounts_payable@keyera.com,9516-146 Avenue,,,true
80778155,WK 2,Wed,Nordic Energy,#84 721071 RR53,,,,ap@nordicenergycanada.com,#84 721071 RR53,,,true
cb804c58,WK 2,Wed,PepsiCo,14302-93 Street Grande Prairie,,,3 bottles,bonnie.conner@pepsico.com,14302-93 Street,,,true
5dc69653,Wk 2,Wed,Full Force Ventures,14915-89 Street Grande Prairie,,,,ap@fullforceventures.com,14915-89 Street,,,true
f3589445,WK 2,Wed,RB Oilfield,9328-144 Avenue Grande Prairie,,,Monthly,admin@RBOilfield.ca,9328-144 Avenue,,,true
3987c741,WK 2,Wed,KMA Construction,Unit 100, 9503-154 Ave Grande Prairie,,,,ap@kmaconstruction.ca,Unit 100, 9503-154 Ave,true
f4935a14, Wk 2,Wed,Keyera GP,9516-146 Ave Grande Prairie,,,780-402-5942   PO#20047662,accounts_payable@keyera.com,9516-146 Ave,,,true
aaf68274,Wk 2,Wed,Barr None,13 63014 township 724,,,,office@barrnonemechanical.com,13 63014 township 724,,,true
060abac9,WK 2,Wed,Compass Access,40016 Hwy 43,,,,ap@compassltd.ca,40016 Hwy 43,,,true
54f497ec,WK 2,Wed,Paloma Pressure Controls,15601-91 Street Clairmont,,,,apcanada@palomapc.com,15601-91 Street,,,true
8bc3b606,WK 2,Wed,DFI Piling,14605-97 Street Grande Prairie,,,,ap@dfipiling.com,14605-97 Street,,,true
e116835d,WK 2,Wed,Tier 1 Energy Solutions,8104A-105 Street Clairmont,,,,payables@tier1energy.ca,8104A-105 Street,,,true
5333a5b2,Wk 2,Wed,Ideal Completions,9302-144 Avenue Grande Prairie,,,,dwayne.mcintosh@idealcompletions.com,9302-144 Avenue,,,true
5c6d89ea,Wk 2,Wed,Benedict Pipelines ,9202-154 Avenue Keyera Pipeline,,,,tammy@benedictpipeline.com,9202-154 Avenue,,,true
