CustomerID,Week,Day,Company,Address,Location,Phone,Notes,Email,Delivery fee ,,,,,Active
832b5778,week 3,Friday,West Fraser Mills (NorBord),Bag 6700,Highway 40 South Grande Prairie, AB T8V 6Y9,Select standard fee,,Loading Trailer; Westend Receiving Upstairs...,,,,,true
a4a796f2,week 3,Friday,Wapiti Gravel Suppliers,4201 93 Street (County Ind. Park), Grande Prairie, AB T8W 5A9,,,,,,,,true
574be13c,week 3,Friday,Jayelles ,70114 Highway 666, Grovedale, AB T0H 1X0,Select standard fee,780-882-7176,,,,,,true
523c289a,week 3,Friday,Hillbilly Hauling,70115 Highway 666 (Across from Jaydie's), Grovedale, AB T0H 1X0,,,,,,,,true
1613201e,week 3,Friday,Entrec Centre,55051 Township Rd 710 (Evergreen Park), Grande Prairie, AB T8W 5A6,,,,,,,,true
08059860,week 3,Friday,Casino at Evergreen Park,55051 Township Rd 710, Grande Prairie, AB T8W 5A6,,780-830-5566,(56 AT SHOP & 51 AT CAMP),,,,,true
e0e8f770,week 3,Friday,Chandel Equipment Rentals,Unit 2, 61072 Highway 668, Grande Prairie, AB T8W 5A1,Select standard fee,,,,,,true
0b37cd27,week 3,Friday,Sureway Logging,Unit 1, 6351 Township Rd 695A, Grovedale, AB T0H 1X0,Select standard fee, 780-459-5282,Please CALL,,,,true
8464538c,week 3,Friday,Cecilia Saccheti,Unit 62, 51037 Township Rd 714, Grande Prairie, AB T8X 4A3,,,12 Bottles,,,,true
b44ef61d,week 3,Friday,Dunes on 17 Fire Station,8111 Resources Road, County of Grande Prairie, AB T8W 3A7,,,Lunch Room,,,,,true
51bdc070,week 3,Friday,Dunvegan Gardens (GP) Ltd,7110 34b Highway 40 South, Grande Prairie, AB T8V 4B6,Select standard fee,,,,,,,true
4fd9f671,week 3,Friday,Chinook Scaffolding,Hwy 40 South (International Paper Site), Grande Prairie, AB T8V 6V4,,,,,,,,true
e79b5092,week 3,Friday,West Rock,Hwy 40 South (International Paper Site), Grande Prairie, AB T8V 6V4,,780-532-1281,,,,,,true
3d72707e,week 3,Friday,UFA Farm Store,15602 101 Street, Grande Prairie, AB T8V 0P2,,780-532-6637,#NAME?,,,,,true
812285e4,week 3,Friday,Nitehawk Ski Hill,6352 Township Rd 702A, Grovedale, AB T0H 1X0,,,,,,,,true
23012fd5,week 3,Friday,GP Golf & Country,711040 Resources Road, Grande Prairie, AB T8V 3A7,,,EVERY 3 WEEKS CHECK LAST DELIVERY,,,,,true
267be78e,week 3,Friday,PGI Processing,LSD 07-35-067-07 W6M, Grovedale, AB T0H 1X0,,,,,,,,true
3e14bcd7,week 3,Friday,Northern Repair Ltd,6101 97 Street, Grande Prairie, AB T8W 5A1,,,,,,,,true
cdb2eb6c,,,Weir Construction,Unit 2, 6301 Township Rd 695A, Grovedale, AB T0H 1X0,,,,,,,true
1dd6d262,,,TC Energy Bear Creek Cogen Plant Global Cellulose Fibers,53024A Resources Rd,Grande Prairie,AB T8V 6V4,$17.00,,,invoices_ca@tcenergy.com,RUSH ORDER - 4/7/2026 | Email: invoices_ca@tcenergy.com | PO: PO# 4500702406,PO# 4500702406,,true
