CustomerID,Week,Day,Company,Address,Location,Phone,Notes,Email,Delivery Fee,,,,,Active
01abac75,WEEK 3,Wednessday,Contain Enviro Services,13535 97 Street, Grande Prairie, AB T8V 4H4,,PLEASE GET SOMEONE TO SIGN, Shop,Upstairs & main floor,,,,true
6a135712,WEEK 3,Wednessday,Bluewave Cardlock Buildings,14125 99 Street, Grande Prairie, AB T8V 7B1,,,Will try 10@ every 2 weeks,,,,,true
034aacc4,WEEK 3,Wednessday,Roil Projects,9401 158 Avenue, Grande Prairie, AB T8X 0M7,Select standard fee,780-882-7044,,,,,,true
dbda2578,WEEK 3,Wednessday,Colter Energy LP,14011 97 Street, Grande Prairie, AB T8V 7B2,,,,,,,,true
c2813759,WEEK 3,Wednessday,Tier 1 Energy Solutions,9329-144 Ave Grande Prairie, AB T8V 8E8,Select standard fee,780-402-0942 PO#20047662,,payables@tier1energy.ca,,,,,true
c18499be,WEEK 3,Wednessday,Victor Energy (Body Shop),14213 97 Street, Grande Prairie, AB T8V 7B2,,780-533-5448,,,,,,true
3e31f9e1,WEEK 3,Wednessday,Victor Energy (Mech. Shop),14310 97 Street, Grande Prairie, AB T8V 7B3,,,,,,,,true
bcca6e2d,WEEK 3,Wednessday,Keyera GP,9516 145 Avenue, Grande Prairie, AB T8V 8P1,Select standard fee,,Door code 5231,,,,,true
58db7a3e,WEEK 3,Wednessday,Essential Coil,2A 63014 Township Road 724, Clairmont, AB T8X 4A2,,,,,,,,true
d87e48ad,WEEK 3,Wednessday,Barr None Mechanical,13 63014 Township Road 724, Clairmont, AB T8X 4A2,,,Washroom,,,,,true
bb8cfe80,WEEK 3,Wednessday,Command Fishing,14801 89 Street, County of Grande Prairie, AB T8X 0M2,,,3 bottles monthly,,,,,true
39dc6246,WEEK 3,Wednessday,PepsiCo Foods,14302 93 Street, Grande Prairie, AB T8V 7Z8,,780-538-1437,,,,,,true
e9a764ce,WEEK 3,Wednessday,RB Oilfield,9328 144 Avenue, Grande Prairie, AB T8V 4Z1,,,Always make sure there is 12 bottles,,,,,true
d257a651,WEEK 3,Wednessday,Ideal Completions,9302 144 Avenue, Grande Prairie, AB T8V 4Z1,,,,,,,,true
23feadd8,WEEK 3,Wednessday,Full Force Ventures,14915 89 Street, Grande Prairie, AB T8X 0M2,,,,,,,,true
b8e8ca49,WEEK 3,Wednessday,Star Autobody,15110 89 Street, Grande Prairie, AB T8X 0M2,,,,,,,,true
9be9ac96,WEEK 3,Wednessday,Diverse Diesel,15710 89 Street, Grande Prairie, AB T8X 0M6,,,Keyera Pipeline,,,,,true
14fe4596,,,Benedict Pipelines,9202 154 Avenue, Grande Prairie, AB T8X 0L2,,,,,,,,true
