CustomerID,Week,Day,Company,Address,Location,Phone,Notes,Email,Delivery Fee ,,System_Status,,,,Active
8f55b3ff,week 4,Tuesday,West Fraser Mills (NorBord Inc.),Bag 6700, Highway 40 South Grande Prairie, AB T8V 6Y9,Select standard fee,,Loading Trailer, Westend Receiving Upstairs...,,,,Active,true
5c018531,week 4,Tuesday,Jayelle's convenience store,Grovedale Hwy #666,Select standard fee,,$5.40 @ Bottle (No new bottles),,,,Active,,,,true
bab5f2a8,week 4,Tuesday,Hillbilly Hauling' LTD.,Grovedale,AB-On Two Lakes Road, Box 23068,AB T8V 6X2,Select standard fee,780-882-7176,,accounting@hillbillyhaulin.ca,,,Active,true
08444017,week 4,Tuesday,Clarkson Hall,Evergreen Park,Grande Prairie,AB T8W 5A7,Select standard fee,,,,,,Active,,true
267d2173,week 4,Tuesday,Wapiti Gravel Suppliers,4201 93 Street (County Ind. Park), Grande Prairie, AB T8W 5A9,,,PO NEEDED,,,,Active,,true
2091418a,week 4,Tuesday,Evergreen Park (Clarkson Hall/Entrec/Casino),55051 Township Rd 710, Grande Prairie, AB T8W 5A6,,,12 Bottles,,,,Active,,true
7d3331fe,week 4,Tuesday,Dunes on 17 Fire Station,8111 Resources Road, County of Grande Prairie, AB T8W 3A7,,,10 bottles (4 to Turf Care Bldg; 2 to Clubhouse),,,,Active,,true
4f0175d4,week 4,Tuesday,Roska PTS,3601 98 Street (County Ind. Park), Grande Prairie, AB T8W 5A8,,,11 bottles starting May 5/22 - Then call in base afar,,,,Active,,true
cd035c15,week 4,Tuesday,Roska 666 (Blue & White Bldg),70120 Highway 666, Grovedale, AB T0H 1X0,,,Bi weekly always make sure they have 4 full ones,,,,Active,,true
b604ce85,week 4,Tuesday,International Paper (Admin Bldg),53024A Resources Road, Grande Prairie, AB T8V 6V4,,,11 bottles weekly,,,,Active,,true
ce3150e0,week 4,Tuesday,Dunvegan Gardens (GP) Ltd,7110 348 Hwy 40, Grande Prairie, AB T8W 5A4,,,,,,,Active,,true
4584176d,week 4,Tuesday,GP Golf & Country Club,711040 Resources Road, Grande Prairie, AB T8V 3A7,,,10 bottles,,,,Active,,true
7e5e547f,week 4,Tuesday,Titan Energy,711038A Hwy 40, County of Grande Prairie, AB T8W 5B6,,780-532-6637 ,#NAME?,,,,Active,,true
75cfb448,week 4,Tuesday,2127722 Alberta Ltd (Chris London),Unit 6, 64031 Township Rd 701A, Grovedale, AB T0H 1X0,,,EVERY 3 WEEKS CHECK LAST DELIVERY,,,,Active,true
0b9d6f2f,week 4,Tuesday,Nitehawk Ski Hill,6352 Township Rd 702A, Grovedale, AB T0H 1X0,,,,,,,Active,,true
6a5ac756,,,Via Separators (Kodak Bldg),11402 98 Avenue, Grande Prairie, AB T8V 5S5,,,,,,,Active,,true
7386644d,,,Pembina Kakwa Gas Facility,Municipal District of Greenview No.16,Select standard fee,,,,RUSH ORDER - 3/31/2026,93908,Active,,,,true
978de3dd,,,Pembina Patterson Creek Gas Facility,South HWY 40,Select standard fee,,,,RUSH ORDER - 3/31/2026 | PO: PO# 4500333744,PO# 4500333744,Active,,,,true
0fa37e3e,,,Alder Bros,61057 HWY 668 Lot 20,Select standard fee,,,office@alderbros.ca,RUSH ORDER - 4/1/2026 | Email: office@alderbros.ca,35035,Active,,,,true
92666195,,,Keyera Wapiti Gas Plant,Municipal district of Greenview No.16,AB T8W 5G5,Select standard fee,,,,[Route: Week 4 > 4 Friday.csv] [Day: Thursday],,Active,,,true
78e24994,,,All Peace Protection,#202, 11117-100 Street Grande Prairie,AB T8V 2N2,Select standard fee,,,accounting@allpeaceprotection.com,RUSH ORDER - 4/2/2026 | Email: accounting@allpeaceprotection.com,55154,Active,,true
b46baa8d,,,Northern Repair,3802-99 Street County of Grande Prairie No.1 T8W 5A8,Select standard fee,,,Michaelvall101@gmail.com,RUSH ORDER - 4/2/2026 | Email: Michaelvall101@gmail.com,51614,Active,,,,true
fad87a92,,,Animal First Clinic,Unit 101, 9151 Crystal lake Drive T8X 0B7,Select standard fee,,,animalsfirstmanager@p3vetpartners.ca,RUSH ORDER - 4/2/2026 | Email: animalsfirstmanager@p3vetpartners.ca,76861,Active,,,true
