CustomerID,Week,Day,Company,Address,Location,Phone,Notes,Email,Delivery Fee,,,,,Active
6298a3e4,week 4,Monday,Rentco Equip.,9601 117 Street, Grande Prairie, AB T8W 0C7,,,Back Room,,,,,true
b48bd8db,week 4,Monday,Union Tractor,11123 97 Avenue, Grande Prairie, AB T8V 3J6,,,Upstairs,,,,,true
b563f7dd,week 4,Monday,Strongco Equipment,11301 89 Avenue, Grande Prairie, AB T8W 0A9,,,Storage Room,,,,,true
49189104,week 4,Monday,On Side Restoration,9503 113 Street, Grande Prairie, AB T8V 5L2,,,Main Office/Upstairs Lunch Room,,,,,true
d5ccfd08,week 4,Monday,Bradvin Trailer Sales,10920 87 Avenue, Grande Prairie, AB T8V 8K4,,780-532-3252 Jason Hansen,,,,,,true
9b675452,week 4,Monday,Freedom Machine Corp,8801 110A Street, Grande Prairie, AB T8V 5L5,,780-538-8280 Tracy Morris,,,,,,true
8c4d7f2d,week 4,Monday,Sanjel - GP Office,10620 78 Avenue, Grande Prairie, AB T8W 1A3,,,,,,,,true
1c13e256,week 4,Monday,RBC Mutual Funds Inc,10720 80 Avenue, Grande Prairie, AB T8W 2S7,,,,,,,,true
a3ef0968,week 4,Monday,Moore's The Suit People,Unit 108, 11502 Westgate Drive, Grande Prairie, AB T8V 4E9,,780-532-8224,,,,,true
825c609d,week 4,Monday,Family Medicine Assoc.,Unit 206, 11601 101 Avenue, Grande Prairie, AB T8V 3X9,,,,,,,true
32854b44,week 4,Monday,Chatters WestGate,Unit 114, 11517 Westgate Drive, Grande Prairie, AB T8V 3B1,,,,,,,true
ea30eabe,week 4,Monday,GP Brewing,8812 111A Street, Grande Prairie, AB T8V 2S4,,,upstairs and downstairs - TAKE COFFEE ORDER once a month,,,,,true
a01c7bfd,week 4,Monday,Prairie Disposal,65029 Hwy 43, County of Grande Prairie, AB T8W 5K2,,,,,,,,true
db0e9b09,week 4,Monday,First Choice Electrical,10913 97 Avenue, Grande Prairie, AB T8V 4G6,,,4 Bottles,,,,,true
b26281a5,week 4,Monday,Purolator,11480 95 Avenue, Grande Prairie, AB T8V 5V3,,,,,,,,true
b8166284,week 4,Monday,The Workshop Cowork,Unit 107, 9601 107 Street, Grande Prairie, AB T8V 6S5,Please drop off 2 cases 500ml and extra 5 Gallon,,6 bottles every two weeks,,,,true
6d317a37,week 4,Monday,Adventure Aviation,11021 123 Street, Grande Prairie, AB T8V 0B4,,,,,,,,true
a0e9c23a,week 4,Monday,Cenovus,9701 116 Street, Grande Prairie, AB T8V 4B1,,,Shop,,,,,true
9cc443a1,week 4,Monday,Dr Phone Fix,Unit 113, 11517 Westgate Drive, Grande Prairie, AB T8V 3B1,,,4 a week as per Sandra Eddy,,,,true
6f31e23a,week 4,Monday,North Peace Insulating,Unit 106, 10919 96 Avenue, Grande Prairie, AB T8V 3J4,,,,,,,true
f4b44aff,week 4,Monday,First Student,11456 97 Avenue, Grande Prairie, AB T8V 5Z5,,,6 bottles,,,,,true
c8eed798,week 4,Monday,Kion Services,713040 RR 64, Grande Prairie, AB T8W 5E5,,,3 bottles,,,,,true
893a2a2a,week 4,Monday,Leyman Distributors,8910 108 Street, Grande Prairie, AB T8V 4C7,,,4 bottles,,,,,true
d83c8792,week 4,Monday,Progressive Physio,10605 Westside Drive, Grande Prairie, AB T8V 8E6,,,4 bottles,,,,,true
0e604d08,,,Sterling Centre (101),Unit 101, 11601 101 Avenue, Grande Prairie, AB T8V 3X9,,,,,,,true
12d004ff,,,Sterling Centre (106),Unit 106, 11601 101 Avenue, Grande Prairie, AB T8V 3X9,,,,,,,true
3931f25a,,,Bunch Projects,9620-109 street Grande Prairie, AB T8V 4E4,,780-532-6034,,purchaseorders@bunch.ca,[Route: Week 4 > 4 Monday] [Day: Thursday],,,,true
